"ecosystem"	"package"	"version"	"license"	"license_files"	"status"
"cargo"	"dtor"	"0.3.0"	"Apache-2.0 OR MIT"	"dtor_0.3.0__LICENSE-APACHE;dtor_0.3.0__LICENSE-MIT"	"included"
"cargo"	"dtor-proc-macro"	"0.0.6"	"Apache-2.0 OR MIT"	"dtor-proc-macro_0.0.6__LICENSE-APACHE;dtor-proc-macro_0.0.6__LICENSE-MIT"	"included"
"cargo"	"dunce"	"1.0.5"	"CC0-1.0 OR MIT-0 OR Apache-2.0"	"dunce_1.0.5__LICENSE"	"included"
"cargo"	"dyn-clone"	"1.0.20"	"MIT OR Apache-2.0"	"dyn-clone_1.0.20__LICENSE-APACHE;dyn-clone_1.0.20__LICENSE-MIT"	"included"
"cargo"	"embed-resource"	"3.0.11"	"MIT"	"embed-resource_3.0.11__LICENSE"	"included"
"cargo"	"equivalent"	"1.0.2"	"Apache-2.0 OR MIT"	"equivalent_1.0.2__LICENSE-APACHE;equivalent_1.0.2__LICENSE-MIT"	"included"
"cargo"	"erased-serde"	"0.4.10"	"MIT OR Apache-2.0"	"erased-serde_0.4.10__LICENSE-APACHE;erased-serde_0.4.10__LICENSE-MIT"	"included"
"cargo"	"fastrand"	"2.5.0"	"Apache-2.0 OR MIT"	"fastrand_2.5.0__LICENSE-APACHE;fastrand_2.5.0__LICENSE-MIT"	"included"
"cargo"	"fdeflate"	"0.3.7"	"MIT OR Apache-2.0"	"fdeflate_0.3.7__LICENSE-APACHE;fdeflate_0.3.7__LICENSE-MIT"	"included"
"cargo"	"find-msvc-tools"	"0.1.13"	"MIT OR Apache-2.0"	"find-msvc-tools_0.1.13__LICENSE-APACHE;find-msvc-tools_0.1.13__LICENSE-MIT"	"included"
"cargo"	"flate2"	"1.1.10"	"MIT OR Apache-2.0"	"flate2_1.1.10__LICENSE-APACHE;flate2_1.1.10__LICENSE-MIT"	"included"
"cargo"	"fnv"	"1.0.7"	"Apache-2.0 / MIT"	"fnv_1.0.7__LICENSE-APACHE;fnv_1.0.7__LICENSE-MIT"	"included"
"cargo"	"foldhash"	"0.2.0"	"Zlib"	"foldhash_0.2.0__LICENSE"	"included"
"cargo"	"form_urlencoded"	"1.2.2"	"MIT OR Apache-2.0"	"form_urlencoded_1.2.2__LICENSE-APACHE;form_urlencoded_1.2.2__LICENSE-MIT"	"included"
"cargo"	"futures-channel"	"0.3.34"	"MIT OR Apache-2.0"	"futures-channel_0.3.34__LICENSE-APACHE;futures-channel_0.3.34__LICENSE-MIT"	"included"
"cargo"	"futures-core"	"0.3.34"	"MIT OR Apache-2.0"	"futures-core_0.3.34__LICENSE-APACHE;futures-core_0.3.34__LICENSE-MIT"	"included"
"cargo"	"futures-io"	"0.3.34"	"MIT OR Apache-2.0"	"futures-io_0.3.34__LICENSE-APACHE;futures-io_0.3.34__LICENSE-MIT"	"included"
"cargo"	"futures-macro"	"0.3.34"	"MIT OR Apache-2.0"	"futures-macro_0.3.34__LICENSE-APACHE;futures-macro_0.3.34__LICENSE-MIT"	"included"
"cargo"	"futures-sink"	"0.3.34"	"MIT OR Apache-2.0"	"futures-sink_0.3.34__LICENSE-APACHE;futures-sink_0.3.34__LICENSE-MIT"	"included"
"cargo"	"futures-task"	"0.3.34"	"MIT OR Apache-2.0"	"futures-task_0.3.34__LICENSE-APACHE;futures-task_0.3.34__LICENSE-MIT"	"included"
"cargo"	"futures-util"	"0.3.34"	"MIT OR Apache-2.0"	"futures-util_0.3.34__LICENSE-APACHE;futures-util_0.3.34__LICENSE-MIT"	"included"
"cargo"	"generic-array"	"0.14.7"	"MIT"	"generic-array_0.14.7__LICENSE"	"included"
"cargo"	"getrandom"	"0.2.17"	"MIT OR Apache-2.0"	"getrandom_0.2.17__LICENSE-APACHE;getrandom_0.2.17__LICENSE-MIT"	"included"
"cargo"	"getrandom"	"0.3.4"	"MIT OR Apache-2.0"	"getrandom_0.3.4__LICENSE-APACHE;getrandom_0.3.4__LICENSE-MIT"	"included"
"cargo"	"getrandom"	"0.4.3"	"MIT OR Apache-2.0"	"getrandom_0.4.3__LICENSE-APACHE;getrandom_0.4.3__LICENSE-MIT"	"included"
"cargo"	"glob"	"0.3.4"	"MIT OR Apache-2.0"	"glob_0.3.4__LICENSE-APACHE;glob_0.3.4__LICENSE-MIT"	"included"
"cargo"	"hashbrown"	"0.12.3"	"MIT OR Apache-2.0"	"hashbrown_0.12.3__LICENSE-APACHE;hashbrown_0.12.3__LICENSE-MIT"	"included"
"cargo"	"hashbrown"	"0.17.1"	"MIT OR Apache-2.0"	"hashbrown_0.17.1__LICENSE-APACHE;hashbrown_0.17.1__LICENSE-MIT"	"included"
"cargo"	"heck"	"0.5.0"	"MIT OR Apache-2.0"	"heck_0.5.0__LICENSE-APACHE;heck_0.5.0__LICENSE-MIT"	"included"
"cargo"	"hex"	"0.4.3"	"MIT OR Apache-2.0"	"hex_0.4.3__LICENSE-APACHE;hex_0.4.3__LICENSE-MIT"	"included"
"cargo"	"html5ever"	"0.38.0"	"MIT OR Apache-2.0"	"html5ever_0.38.0__LICENSE-APACHE;html5ever_0.38.0__LICENSE-MIT"	"included"
"cargo"	"http"	"1.5.0"	"MIT OR Apache-2.0"	"http_1.5.0__LICENSE-APACHE;http_1.5.0__LICENSE-MIT"	"included"
"cargo"	"http-body"	"1.1.0"	"MIT"	"http-body_1.1.0__LICENSE"	"included"
"cargo"	"http-body-util"	"0.1.5"	"MIT"	"http-body-util_0.1.5__LICENSE"	"included"
"cargo"	"httparse"	"1.10.1"	"MIT OR Apache-2.0"	"httparse_1.10.1__LICENSE-APACHE;httparse_1.10.1__LICENSE-MIT"	"included"
"cargo"	"hyper"	"1.11.1"	"MIT"	"hyper_1.11.1__LICENSE"	"included"
"cargo"	"hyper-rustls"	"0.27.10"	"Apache-2.0 OR ISC OR MIT"	"hyper-rustls_0.27.10__LICENSE-APACHE;hyper-rustls_0.27.10__LICENSE-ISC;hyper-rustls_0.27.10__LICENSE-MIT"	"included"
"cargo"	"hyper-util"	"0.1.20"	"MIT"	"hyper-util_0.1.20__LICENSE"	"included"
"cargo"	"ico"	"0.5.0"	"MIT"	"ico_0.5.0__LICENSE"	"included"
"cargo"	"icu_collections"	"2.3.0"	"Unicode-3.0"	"icu_collections_2.3.0__LICENSE"	"included"
